Pt,Asian badger,Boar,Hog badger,Leopard cat,Masked palm civet,Pere David's rock squirrel,Raccoon dog,Red squirrel,Siberian roe deer,Siberian weasel,Swinhoe's striped squirrel,Tolai hare,Impervious areas,Agricultural land,Water sources,Roads,Altitude,TPI,Day,Season,Vegetation
1,0,0,0,0,0,0,0,1,0,0,0,0,2124.02698,1169.635384,1818.045662,88.83275186,1067,13,47,Autumn,Mixed Broadleaf-Coniferous Forest
3,1,0,0,0,0,0,0,0,0,0,0,0,2173.671169,870.9979056,2499.130388,110.2642633,868,-3.625,47,Autumn,Mixed Broadleaf-Coniferous Forest
4,0,0,0,0,2,0,0,0,0,0,0,1,1913.789372,682.9676695,2131.060813,83.03963211,822,4.875,47,Autumn,Mixed Broadleaf-Coniferous Forest
5,0,0,0,0,0,0,0,0,0,0,0,0,1447.706797,369.6469058,1155.969035,32.68746126,736,4.125,47,Autumn,Deciduous Broadleaf Forest
6,0,0,0,0,0,0,0,7,1,0,0,0,2182.807796,482.8979951,1118.054324,55.59286138,721,-0.375,47,Autumn,Deciduous Broadleaf Forest
7,0,0,0,0,0,0,0,0,0,0,0,0,800.1382476,213.9265622,524.6368176,33.58302192,595,-2.5,47,Autumn,Deciduous Broadleaf Forest
8,0,0,0,0,1,0,3,1,0,1,0,0,854.7417989,347.1412375,321.6963647,38.98888215,491,-5.875,47,Autumn,Deciduous Broadleaf Forest
9,0,0,0,0,0,0,0,0,0,0,0,0,621.5088744,268.206967,340.4319013,410.2102258,459,-3.875,47,Autumn,Deciduous Broadleaf Forest
10,0,0,0,0,0,0,0,0,0,0,0,0,458.8706943,73.67751112,60.82162112,74.69815406,402,0.625,47,Autumn,Mixed Broadleaf-Coniferous Forest
14,2,0,0,0,0,3,0,0,0,0,1,0,133.8386759,74.7532772,187.2798369,46.15861668,265,2.5,47,Autumn,Deciduous Broadleaf Forest
15,4,0,0,0,0,0,0,0,0,0,1,0,769.5369397,212.4167216,1633.596315,45.97617177,302,-4.875,47,Autumn,Deciduous Broadleaf Forest
16,1,0,0,0,0,0,0,2,0,0,0,0,1132.724154,417.3407738,2006.286073,37.26180736,488,-0.625,47,Autumn,Coniferous Forest
18,1,0,0,0,0,3,0,0,0,0,0,0,1513.06679,960.7712888,2105.778003,16.23439405,518,-3,47,Autumn,Deciduous Broadleaf Forest
19,1,0,0,1,0,59,0,2,1,0,2,0,1736.431002,1278.741816,1557.503407,12.9353456,611,-7.875,47,Autumn,Deciduous Broadleaf Forest
24,1,1,0,0,0,2,0,0,0,0,0,0,143.4606193,263.3095071,1193.531283,15.00563199,444,-3.125,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
25,1,0,0,0,0,4,0,0,1,0,0,0,375.0865774,198.9021907,368.2262927,24.85385557,478,-2.25,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
26,0,0,0,0,0,0,0,1,0,0,0,0,843.8059956,399.9519603,507.5276971,2.869890573,371,-3.875,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
27,0,0,0,0,0,5,0,0,0,0,0,1,233.7748739,176.9427519,239.6835593,95.88164024,369,-6.25,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
28,1,0,0,0,0,7,1,8,0,0,0,0,92.30932991,34.53101106,38.08289611,84.96753247,312,-0.375,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
29,1,0,0,0,0,4,0,0,0,0,0,0,729.8808574,414.1417997,479.6491345,14.72595381,350,-8.125,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
30,0,0,0,0,3,1,0,0,0,0,0,0,719.8826125,208.0690885,244.0101401,35.11575798,321,-4.75,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
31,0,0,0,0,0,1,1,0,3,0,0,0,800.9824781,456.7679994,884.9984007,285.1049132,422,0.875,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
32,0,0,0,1,0,15,0,2,0,0,0,0,50.32305611,16.60539214,77.52476367,42.37886503,262,-3.25,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
33,0,0,0,0,0,0,1,5,0,0,0,0,184.8418378,50.4054722,1863.803903,71.10307265,415,0.25,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
34,0,0,0,0,0,0,1,4,2,0,0,0,1087.260293,407.9640356,2296.77346,41.26357607,570,-1.375,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
35,1,0,0,0,0,5,0,0,0,0,1,0,1165.883103,256.8641042,2002.491776,34.28815926,527,-2.375,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
36,0,0,0,0,0,0,0,0,0,0,0,0,536.4271999,41.46070622,1533.000946,32.04571675,481,-0.625,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
37,0,0,0,0,0,0,0,0,2,0,0,1,1074.363051,457.267359,1758.582553,25.58596702,539,0.125,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
38,0,0,0,0,1,18,1,0,0,0,1,8,599.5968651,164.9893832,338.7046853,3.96978194,439,-0.5,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
39,0,0,0,0,0,0,0,5,0,0,0,0,1088.083861,383.0211992,776.2663155,61.77918463,495,-1.5,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
42,0,0,1,0,0,0,0,1,0,0,0,0,628.8979076,64.85955346,710.4659532,48.53184816,720,-0.5,47,Autumn,Mixed Broadleaf-Coniferous Forest
43,0,0,0,0,0,2,0,0,0,0,0,0,862.8806783,511.8953114,1465.304666,26.03730376,621,-3.125,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
44,0,0,0,0,0,8,0,0,0,0,0,0,1180.149252,90.94265316,1060.560241,10.18675778,675,-2.5,47,Autumn,Mixed Broadleaf-Coniferous Forest
45,0,0,0,0,0,0,2,3,0,0,0,0,333.8197391,118.9493916,272.6816109,58.82704964,607,0.375,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
46,0,0,0,0,0,0,0,0,0,0,0,0,939.7043029,271.8094916,563.6515953,96.88555324,610,-2.125,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
47,0,0,0,0,0,0,0,0,0,0,0,0,291.9723379,194.9014464,437.78828,39.94156625,546,0.625,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
48,1,0,0,1,0,1,3,0,0,0,0,0,671.2670357,151.6095221,673.690866,197.2119306,564,0.625,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
49,1,0,0,0,0,0,1,1,0,0,0,0,295.7021932,129.7289882,76.02764801,48.93699819,486,1.01E-09,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
50,0,0,0,0,0,0,0,0,0,0,0,0,67.95449514,119.5378669,127.4145595,101.3849397,503,3.375,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
51,0,0,0,0,0,1,0,0,0,0,0,0,738.1731857,186.7935956,692.1822763,216.0487608,550,-2.25,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
53,0,0,1,1,0,0,0,1,0,0,0,0,836.8413538,634.557419,2060.135545,336.1443126,766,-0.25,47,Autumn,Evergreen Broadleaf Forest
54,2,0,1,1,0,2,0,0,0,0,0,0,875.5608291,681.1703908,2182.443442,422.8622111,760,-2.375,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
55,0,0,0,0,0,0,0,1,0,0,0,0,258.1893426,197.8041897,2638.133049,223.395581,647,-2.625,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
57,0,0,0,0,0,22,2,0,1,0,2,0,874.490719,597.1441799,1854.719266,471.598764,626,-4,47,Autumn,Mixed Evergreen-Deciduous Broadleaf Forest
58,0,1,0,2,0,1,4,0,0,0,0,0,958.0472815,155.7070792,2177.08714,62.19301987,549,-0.75,47,Autumn,Evergreen Broadleaf Forest
59,0,2,0,0,0,0,1,0,0,2,0,4,1560.774761,467.3312163,2087.278928,205.602313,493,-1.25,47,Autumn,Evergreen Broadleaf Forest
62,2,0,0,0,1,3,1,0,0,0,0,0,299.0099586,156.5020202,367.6042755,185.0689813,234,-4.125,47,Autumn,Deciduous Broadleaf Forest
63,1,0,0,0,0,0,2,0,0,0,0,32,376.7210158,40.60164604,1382.164914,58.51000035,479,4.125,47,Autumn,Mixed Broadleaf-Coniferous Forest
64,0,0,0,1,0,0,0,1,0,0,0,50,539.1895204,98.15286369,1130.723198,21.10385836,497,1.125,47,Autumn,Mixed Broadleaf-Coniferous Forest
65,2,0,1,0,0,6,1,0,4,0,0,0,1214.479433,148.5321547,1557.867304,132.6659472,372,-3.625,47,Autumn,Mixed Broadleaf-Coniferous Forest
66,0,0,0,0,0,0,0,0,0,0,0,0,615.0212143,147.2453721,70.41841485,35.80217497,212,-3,47,Autumn,Deciduous Broadleaf Forest
71,0,0,3,1,0,15,0,0,0,0,1,1,1935.118049,152.5476987,1699.607933,138.9101935,692,-0.25,47,Autumn,Coniferous Forest
73,3,1,0,0,0,8,10,0,5,0,0,0,555.2326322,228.5898088,818.793673,399.5417705,196,-7,47,Autumn,Deciduous Broadleaf Forest
74,8,0,0,0,0,0,4,0,6,0,0,1,690.821608,172.3889482,751.7664917,230.6767217,220,3.125,47,Autumn,Deciduous Broadleaf Forest
75,0,0,0,1,0,1,2,0,1,2,0,1,650.468241,12.64544482,2677.865829,343.9613691,126,-2.625,47,Autumn,Deciduous Broadleaf Forest
76,0,0,0,0,0,0,1,0,0,0,0,0,684.0958188,210.605864,2978.98969,95.81933569,209,-7.125,47,Autumn,Deciduous Broadleaf Forest
77,0,0,0,0,0,0,1,0,0,0,0,0,730.8540098,194.7064042,2940.977459,88.30177382,213,-0.5,47,Autumn,Deciduous Broadleaf Forest
78,0,0,0,0,0,1,0,0,0,0,1,0,723.8740253,161.7085527,3011.199883,48.75115824,197,-5.375,47,Autumn,Mixed Broadleaf-Coniferous Forest
80,0,0,0,0,0,20,0,0,0,0,0,0,1585.93527,255.8586581,2634.789333,22.07510363,185,-7.875,47,Autumn,Deciduous Broadleaf Forest
81,0,0,0,0,0,1,0,0,0,0,0,0,258.047503,158.8729014,273.6620863,176.3468154,190,-2.875,47,Autumn,Deciduous Broadleaf Forest
82,0,0,0,0,0,0,0,0,0,0,0,0,381.9945233,56.51826695,315.1542526,82.92769224,203,-1.875,47,Autumn,Deciduous Broadleaf Forest
83,4,0,0,0,0,0,0,0,0,0,0,0,241.5037365,44.47948479,345.4124248,322.034882,233,2,47,Autumn,Deciduous Broadleaf Forest
84,0,0,0,0,0,3,0,0,0,0,0,0,496.4352395,469.7485692,294.4943072,135.5151363,287,-8.125,47,Autumn,Shrubland
85,1,0,0,0,0,0,0,0,0,0,0,0,347.9082027,341.6838176,252.8660763,18.1473374,307,3.875,47,Autumn,Deciduous Broadleaf Forest
86,0,0,0,0,0,1,0,2,0,0,0,0,1466.363452,435.0794518,110.4757004,71.97922622,291,-5.25,47,Autumn,Deciduous Broadleaf Forest
87,1,0,0,0,0,28,1,1,0,0,0,0,1769.591574,26.06299644,838.1893558,28.95781924,314,-7,47,Autumn,Deciduous Broadleaf Forest
88,0,0,0,0,0,6,0,0,0,0,1,0,1896.708408,172.9258358,989.6814048,185.289078,337,-3,47,Autumn,Deciduous Broadleaf Forest
89,2,0,0,0,0,2,2,0,0,0,0,8,948.5499124,149.0833432,247.2647905,43.58128516,268,-1.875,47,Autumn,Deciduous Broadleaf Forest
91,0,0,0,0,0,2,0,0,0,0,0,1,203.8445674,78.7730474,0.796907748,179.5116936,163,-2.25,47,Autumn,Coniferous Forest
93,1,0,0,0,0,2,0,0,0,0,0,0,118.2646704,90.74623719,5.600157891,12.5710497,171,-1.75,47,Autumn,Deciduous Broadleaf Forest
98,0,0,0,0,0,0,0,0,0,0,0,0,1022.884597,231.9461014,1095.890471,45.17243273,358,3.625,47,Autumn,Deciduous Broadleaf Forest
1,0,0,0,0,0,0,0,0,0,0,0,0,2124.02698,1169.635384,1818.045662,88.83275186,1067,13,91,Winter,Mixed Broadleaf-Coniferous Forest
3,0,0,0,0,0,0,0,0,0,0,0,0,2173.671169,870.9979056,2499.130388,110.2642633,868,-3.625,91,Winter,Mixed Broadleaf-Coniferous Forest
4,0,1,0,0,0,0,1,0,0,0,0,13,1913.789372,682.9676695,2131.060813,83.03963211,822,4.875,91,Winter,Mixed Broadleaf-Coniferous Forest
5,0,3,0,0,0,0,0,1,0,0,0,0,1447.706797,369.6469058,1155.969035,32.68746126,736,4.125,91,Winter,Deciduous Broadleaf Forest
6,0,1,0,0,0,1,0,42,1,1,0,0,2182.807796,482.8979951,1118.054324,55.59286138,721,-0.375,91,Winter,Deciduous Broadleaf Forest
7,0,0,0,0,0,0,0,0,0,0,0,0,800.1382476,213.9265622,524.6368176,33.58302192,595,-2.5,91,Winter,Deciduous Broadleaf Forest
8,0,0,0,0,0,1,0,0,0,0,0,0,854.7417989,347.1412375,321.6963647,38.98888215,491,-5.875,91,Winter,Deciduous Broadleaf Forest
9,0,0,0,0,0,0,0,0,0,0,0,0,621.5088744,268.206967,340.4319013,410.2102258,459,-3.875,91,Winter,Deciduous Broadleaf Forest
10,0,0,0,0,0,0,1,0,0,0,0,0,458.8706943,73.67751112,60.82162112,74.69815406,402,0.625,91,Winter,Mixed Broadleaf-Coniferous Forest
14,0,0,0,0,0,7,0,0,0,0,7,0,133.8386759,74.7532772,187.2798369,46.15861668,265,2.5,91,Winter,Deciduous Broadleaf Forest
15,0,0,0,0,0,0,0,0,0,0,0,0,769.5369397,212.4167216,1633.596315,45.97617177,302,-4.875,91,Winter,Deciduous Broadleaf Forest
16,0,0,0,0,0,0,0,5,0,0,0,19,1132.724154,417.3407738,2006.286073,37.26180736,488,-0.625,91,Winter,Coniferous Forest
18,0,0,0,0,0,0,0,0,0,0,0,0,1513.06679,960.7712888,2105.778003,16.23439405,518,-3,91,Winter,Deciduous Broadleaf Forest
19,0,0,0,0,0,44,0,1,0,0,0,0,1736.431002,1278.741816,1557.503407,12.9353456,611,-7.875,91,Winter,Deciduous Broadleaf Forest
24,0,0,0,0,0,11,0,1,0,0,0,0,143.4606193,263.3095071,1193.531283,15.00563199,444,-3.125,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
25,0,0,0,0,0,5,0,0,0,0,0,0,375.0865774,198.9021907,368.2262927,24.85385557,478,-2.25,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
26,0,0,0,0,0,2,0,1,0,0,1,0,843.8059956,399.9519603,507.5276971,2.869890573,371,-3.875,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
27,0,0,0,0,0,4,0,0,0,0,0,0,233.7748739,176.9427519,239.6835593,95.88164024,369,-6.25,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
28,0,0,0,0,0,8,0,5,0,0,0,0,92.30932991,34.53101106,38.08289611,84.96753247,312,-0.375,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
29,0,0,0,1,0,0,0,0,0,1,0,0,729.8808574,414.1417997,479.6491345,14.72595381,350,-8.125,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
30,0,0,0,0,0,1,0,2,0,0,5,0,719.8826125,208.0690885,244.0101401,35.11575798,321,-4.75,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
31,0,0,0,0,0,4,0,0,0,0,0,0,800.9824781,456.7679994,884.9984007,285.1049132,422,0.875,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
32,0,0,0,0,0,23,0,1,0,0,0,0,50.32305611,16.60539214,77.52476367,42.37886503,262,-3.25,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
33,0,0,0,0,0,0,0,7,0,1,0,0,184.8418378,50.4054722,1863.803903,71.10307265,415,0.25,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
34,0,0,0,0,0,0,1,0,0,0,0,1,1087.260293,407.9640356,2296.77346,41.26357607,570,-1.375,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
35,0,0,0,0,0,0,0,0,0,0,0,1,1165.883103,256.8641042,2002.491776,34.28815926,527,-2.375,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
36,0,0,0,0,0,1,0,0,0,0,0,0,536.4271999,41.46070622,1533.000946,32.04571675,481,-0.625,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
37,0,0,0,0,0,0,0,0,0,0,0,0,1074.363051,457.267359,1758.582553,25.58596702,539,0.125,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
38,0,0,0,0,0,18,0,0,0,0,0,7,599.5968651,164.9893832,338.7046853,3.96978194,439,-0.5,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
39,0,0,0,0,0,0,0,3,1,0,0,0,1088.083861,383.0211992,776.2663155,61.77918463,495,-1.5,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
42,0,9,0,0,0,0,0,0,0,0,0,0,628.8979076,64.85955346,710.4659532,48.53184816,720,-0.5,91,Winter,Mixed Broadleaf-Coniferous Forest
43,0,0,0,1,0,6,0,0,0,0,0,0,862.8806783,511.8953114,1465.304666,26.03730376,621,-3.125,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
44,0,0,0,2,0,3,0,0,0,0,0,0,1180.149252,90.94265316,1060.560241,10.18675778,675,-2.5,91,Winter,Mixed Broadleaf-Coniferous Forest
45,0,0,0,0,0,0,0,3,0,0,0,5,333.8197391,118.9493916,272.6816109,58.82704964,607,0.375,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
46,0,0,0,0,0,0,0,0,0,0,0,0,939.7043029,271.8094916,563.6515953,96.88555324,610,-2.125,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
47,0,0,0,0,0,0,0,0,0,0,0,0,291.9723379,194.9014464,437.78828,39.94156625,546,0.625,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
48,0,0,0,1,0,2,6,1,0,0,0,0,671.2670357,151.6095221,673.690866,197.2119306,564,0.625,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
49,0,0,0,0,0,0,1,0,0,0,0,0,295.7021932,129.7289882,76.02764801,48.93699819,486,1.01E-09,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
50,0,0,0,0,0,0,0,0,0,0,0,0,67.95449514,119.5378669,127.4145595,101.3849397,503,3.375,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
51,0,0,0,0,0,1,0,0,0,0,0,0,738.1731857,186.7935956,692.1822763,216.0487608,550,-2.25,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
53,0,0,0,0,0,0,0,2,0,0,0,0,836.8413538,634.557419,2060.135545,336.1443126,766,-0.25,91,Winter,Evergreen Broadleaf Forest
54,0,0,0,1,0,0,0,1,0,0,0,0,875.5608291,681.1703908,2182.443442,422.8622111,760,-2.375,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
55,0,1,0,0,0,0,0,1,0,0,0,0,258.1893426,197.8041897,2638.133049,223.395581,647,-2.625,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
57,0,0,0,0,0,53,0,0,0,0,0,0,874.490719,597.1441799,1854.719266,471.598764,626,-4,91,Winter,Mixed Evergreen-Deciduous Broadleaf Forest
58,1,0,0,0,0,0,6,0,0,0,0,0,958.0472815,155.7070792,2177.08714,62.19301987,549,-0.75,91,Winter,Evergreen Broadleaf Forest
59,0,0,0,0,0,0,1,0,0,1,0,3,1560.774761,467.3312163,2087.278928,205.602313,493,-1.25,91,Winter,Evergreen Broadleaf Forest
62,0,0,0,0,0,0,0,0,0,0,0,1,299.0099586,156.5020202,367.6042755,185.0689813,234,-4.125,91,Winter,Deciduous Broadleaf Forest
63,0,0,0,0,0,0,1,0,0,0,0,12,376.7210158,40.60164604,1382.164914,58.51000035,479,4.125,91,Winter,Mixed Broadleaf-Coniferous Forest
64,0,0,0,7,0,0,0,0,0,0,0,21,539.1895204,98.15286369,1130.723198,21.10385836,497,1.125,91,Winter,Mixed Broadleaf-Coniferous Forest
65,0,0,0,2,0,0,4,0,1,0,0,0,1214.479433,148.5321547,1557.867304,132.6659472,372,-3.625,91,Winter,Mixed Broadleaf-Coniferous Forest
66,0,0,0,0,0,0,0,0,0,0,0,0,615.0212143,147.2453721,70.41841485,35.80217497,212,-3,91,Winter,Deciduous Broadleaf Forest
71,0,0,0,0,0,19,0,0,0,0,11,0,1935.118049,152.5476987,1699.607933,138.9101935,692,-0.25,91,Winter,Coniferous Forest
73,0,0,0,0,0,1,1,0,0,0,0,1,555.2326322,228.5898088,818.793673,399.5417705,196,-7,91,Winter,Deciduous Broadleaf Forest
74,0,0,0,0,0,0,2,0,6,0,0,0,690.821608,172.3889482,751.7664917,230.6767217,220,3.125,91,Winter,Deciduous Broadleaf Forest
75,0,0,0,0,0,0,0,0,0,0,0,0,650.468241,12.64544482,2677.865829,343.9613691,126,-2.625,91,Winter,Deciduous Broadleaf Forest
76,0,0,0,0,0,0,0,0,0,0,0,0,684.0958188,210.605864,2978.98969,95.81933569,209,-7.125,91,Winter,Deciduous Broadleaf Forest
77,0,0,0,0,0,0,1,0,0,0,1,0,730.8540098,194.7064042,2940.977459,88.30177382,213,-0.5,91,Winter,Deciduous Broadleaf Forest
78,0,0,0,1,0,3,0,0,0,0,2,0,723.8740253,161.7085527,3011.199883,48.75115824,197,-5.375,91,Winter,Mixed Broadleaf-Coniferous Forest
80,0,0,0,0,0,2,0,0,0,0,0,0,1585.93527,255.8586581,2634.789333,22.07510363,185,-7.875,91,Winter,Deciduous Broadleaf Forest
81,0,0,0,0,0,0,0,1,0,0,0,0,258.047503,158.8729014,273.6620863,176.3468154,190,-2.875,91,Winter,Deciduous Broadleaf Forest
82,0,0,0,0,0,0,1,0,0,0,0,0,381.9945233,56.51826695,315.1542526,82.92769224,203,-1.875,91,Winter,Deciduous Broadleaf Forest
83,0,0,0,0,0,0,0,0,0,0,0,0,241.5037365,44.47948479,345.4124248,322.034882,233,2,91,Winter,Deciduous Broadleaf Forest
84,0,0,0,0,0,4,0,0,1,0,0,0,496.4352395,469.7485692,294.4943072,135.5151363,287,-8.125,91,Winter,Shrubland
85,0,0,0,0,0,0,0,0,0,0,0,0,347.9082027,341.6838176,252.8660763,18.1473374,307,3.875,91,Winter,Deciduous Broadleaf Forest
86,0,0,0,0,0,0,0,0,0,0,0,0,1466.363452,435.0794518,110.4757004,71.97922622,291,-5.25,91,Winter,Deciduous Broadleaf Forest
87,0,2,0,0,0,26,0,0,0,0,0,0,1769.591574,26.06299644,838.1893558,28.95781924,314,-7,91,Winter,Deciduous Broadleaf Forest
88,0,2,0,0,0,23,1,0,0,0,5,0,1896.708408,172.9258358,989.6814048,185.289078,337,-3,91,Winter,Deciduous Broadleaf Forest
89,0,0,0,0,0,1,4,0,3,0,0,22,948.5499124,149.0833432,247.2647905,43.58128516,268,-1.875,91,Winter,Deciduous Broadleaf Forest
91,0,0,0,0,0,0,0,0,0,0,0,7,203.8445674,78.7730474,0.796907748,179.5116936,163,-2.25,91,Winter,Coniferous Forest
93,0,0,0,0,0,0,0,0,0,0,0,0,118.2646704,90.74623719,5.600157891,12.5710497,171,-1.75,91,Winter,Deciduous Broadleaf Forest
98,0,0,0,0,0,0,0,0,0,0,0,0,1022.884597,231.9461014,1095.890471,45.17243273,358,3.625,91,Winter,Deciduous Broadleaf Forest
