MaleID,PairID,EPID,PairB_bright,PairR_bright,EPB_bright,EPR_bright
2721-52846,2890-43376,2721-52858,29.89702574,34.3956747,37.47901,38.83552
2721-52833,2880-69875,2840-37291,36.4681,46.09655,34.3121,38.30105
2721-52846,2890-43376,2840-37291,29.89702574,34.3956747,34.3121,38.30105
2880-69862,2880-69867,2880-69856,39.3688,29.1364,25.3822,29.37815
2721-52848,2880-69856,2880-69867,25.3822,29.37815,39.3688,29.1364
2880-69984,2840-37291,2880-69875,34.3121,38.30105,36.4681,46.09655
2721-52848,2880-69856,2880-69977,25.3822,29.37815,33.45894081,41.64477455
2880-69984,2840-37291,2880-69979,34.3121,38.30105,21.85817,36.09223
2721-52833,2880-69875,2880-69987,36.4681,46.09655,24.60997,18.3521
2721-52833,2880-69875,2880-69992,36.4681,46.09655,27.44113,23.78082
2880-69857,2880-69979,2880-69992,21.85817,36.09223,27.44113,23.78082
2840-37289,2880-69977,2890-43352,33.45894081,41.64477455,57.41586,72.4193
2840-37293,2890-43368,2890-43365,26.49727,24.79736,48.9211281,52.3696639
2721-52846,2890-43376,2890-43367,29.89702574,34.3956747,41.7632956,51.1422332
2880-69984,2840-37291,2890-43367,34.3121,38.30105,41.7632956,51.1422332
2721-52848,2880-69856,2890-43368,25.3822,29.37815,26.49727,24.79736
2880-69996,2890-43365,2890-43398,48.9211281,52.3696639,39.75496311,33.40994753
2890-43556,2890-43555,2890-43510,59.07848828,41.09506804,40.68413674,49.29562223
2880-69995,2880-69987,2890-43555,24.60997,18.3521,59.07848828,41.09506804