OBJECT ID,Replicate 1,Replicate 2,Replicate 3,Replicate 4,Replicate 5,Replicate 6,Distance to water body,Terrain Ruggedness Index,Mean NDVI ,Habitat type,Habitat structure,Human Disturbance Index,Termite mounds
1,0,0,0,0,0,0,2792.67,0.666672,0.203022,HS,T,1,0
2,0,0,0,0,0,0,1974.72,0.638889,0.294164,SF,T,0.75,2
3,0,0,0,0,0,0,5037.6,0.459772,0.209598,SF,C,1,0
4,0,0,0,0,0,0,4861.53,0.481486,0.328173,MF,T,0.75,2
5,0,0,0,0,0,0,2909.56,0.533334,0.26934,HS,T,1,0
6,0,0,0,0,0,0,2740.05,0.629628,0.221422,HS,T,1,0
7,0,0,0,0,0,0,1137.86,0.527779,0.282414,SF,T,1,3
8,1,1,1,1,1,1,2611.2,0.56,0.199183,SF,C,0.75,4
9,0,0,0,0,0,0,3233.2,0.469137,0.283013,AG,C,1,0
10,0,0,0,0,0,0,6427.18,0.508275,0.21004,MF,C,0.75,0
11,0,0,0,0,0,0,1537.35,0.425926,0.30567,SF,T,0.4,2
12,0,0,0,0,0,0,7984,0.462964,0.310399,AG,C,0.75,0
13,0,1,0,1,0,1,1552.23,0.5,0.300292,SF,T,0.25,3
14,0,0,0,0,0,0,669.458,0.574074,0.277858,SF,T,0.5,3
15,0,0,0,0,0,0,5288.01,0.478633,0.181348,SF,T,0.75,0
16,0,0,0,0,0,0,2494.92,0.481481,0.291084,SF,T,1,2
17,0,0,0,0,0,0,4652.16,0.40741,0.264793,SF,T,1,3
18,0,0,0,0,0,0,3908.48,0.611111,0.273969,SF,T,1,0
19,0,0,0,0,0,0,1486.68,0.572017,0.313206,SF,C,1,2
20,0,0,0,0,0,0,2356.76,0.465608,0.197083,SF,C,1,0
21,0,0,0,0,0,0,5016.65,0.439614,0.388747,MF,C,1,0
22,0,0,0,0,0,0,3432.61,0.382716,0.323229,MF,T,1,2
23,0,0,0,0,0,0,1275.93,0.444443,0.354059,MF,T,1,0
24,0,0,0,0,0,0,2448.43,0.388889,0.336184,SF,T,0.25,4
25,0,0,0,0,0,0,3947.98,0.666672,0.214314,HS,T,1,0
26,0,0,0,0,0,0,175.055,0.629628,0.187727,MF,T,1,0
27,0,0,0,0,0,0,3813.24,0.444443,0.303178,MF,T,0.2,2
28,0,0,0,0,0,0,1577.93,0.5,0.278613,SF,T,0.75,2
29,0,0,0,0,0,0,9111.51,0.498317,0.28521,AG,C,0.75,0
30,0,0,0,1,0,1,3327.21,0.583334,0.306251,MF,C,0.5,2
31,0,0,0,0,0,0,4977.94,0.474074,0.28373,HS,C,1,0
32,0,0,0,0,0,0,3554.32,0.444443,0.300155,SF,T,0.25,2
33,0,0,0,0,0,0,5410.46,0.644446,0.316001,HS,T,1,0
34,0,0,0,0,0,0,1597.23,0.462962,0.327556,MF,T,0.75,0
35,0,0,0,0,0,0,2187.32,0.419752,0.142184,SF,T,0.75,0
36,0,0,0,0,0,0,1080.89,0.402779,0.29691,MF,C,0.5,0
37,0,0,0,0,0,0,6372.42,0.60494,0.287756,SF,C,0.75,0
38,0,0,0,0,0,0,4051.41,0.412702,0.135634,SF,C,0.75,0
39,0,0,0,0,0,0,868.688,0.502924,0.127386,SF,C,0.75,0
40,0,0,0,0,0,0,1665.33,0.336464,0.131234,AG,C,0.75,0
41,0,0,0,0,0,0,1699.48,0.555556,0.346372,MF,C,0.75,0
42,0,0,0,0,0,0,920.083,0.385416,0.167858,MF,C,0.5,0
43,0,0,0,0,0,0,1411.34,0.46875,0.343583,AG,C,0.75,0
44,0,0,0,0,0,0,5117.19,0.577777,0.232148,HS,C,1,0
45,0,0,0,0,0,0,61.8915,0.36478,0.0795787,MF,C,0.5,0
46,0,0,0,0,0,0,700.222,0.444443,0.30556,SF,T,0.5,0
47,0,0,0,0,0,0,7386.12,0.396297,0.353946,MF,C,0.5,0
48,0,0,0,0,0,0,2503.35,0.574074,0.290383,SF,T,0.5,2
49,0,0,0,0,0,0,1020.74,0.504274,0.321543,SF,C,0.5,0
50,0,0,0,0,0,0,6302.6,0.520834,0.376789,MF,C,1,0
51,0,0,0,0,0,0,7326.5,0.553377,0.228431,MF,C,0.5,2
52,0,0,0,0,0,0,3524.01,0.511108,0.0643709,HS,C,1,0
53,0,0,0,0,0,0,3911.42,0.5,0.311098,SF,T,0.25,0
54,0,0,0,0,1,0,61.8915,0.604166,0.176307,MF,C,0.5,3
55,0,0,0,0,0,0,4659.57,0.222221,0.319474,MF,T,0.75,2
56,0,0,0,0,0,0,0,0.488889,0.352235,SF,T,0.5,0
57,0,0,0,0,0,0,997.97,0.685186,0.268247,SF,T,0.5,1
58,0,0,0,0,0,0,4422.1,0.535613,0.176464,MF,C,0.5,0
59,0,0,0,0,0,0,2991.35,0.622223,0.0682789,MF,T,1,0
60,0,0,0,0,0,0,1156.23,0.54762,0.287121,MF,C,0.75,0
61,0,0,0,0,0,0,1577.93,0.428571,0.333698,SF,T,0.5,3
62,0,0,0,0,0,0,5252.39,0.577777,0.295186,SF,T,1,1
63,0,0,0,0,0,0,4608.73,0.59259,0.167367,HS,T,1,0
64,0,0,1,0,0,1,2144.88,0.522217,0.259548,MF,C,0.5,2
65,0,0,0,0,0,0,609.56,0.518519,0.300378,SF,T,0.5,0
66,0,0,0,0,0,0,4521.89,0.444445,0.178693,HS,T,1,0
67,0,0,0,0,0,0,553.574,0.530863,0.357552,SF,C,0.75,0
68,1,0,0,1,1,1,5093.56,0.530303,0.335316,MF,C,0.5,3
69,0,0,0,0,0,0,1619.85,0.503267,0.204603,MF,C,0.75,0
70,0,0,0,1,0,1,6874.41,0.450617,0.38366,SF,C,0.5,2
71,0,0,0,0,0,0,2438.24,0.497992,0.333632,MF,C,0.75,0
72,0,0,0,0,0,0,3899.16,0.416664,0.184822,HS,T,1,0
73,1,0,0,1,0,0,1129.41,0.571429,0.316766,SF,T,0.5,4
74,0,0,0,0,0,0,5794.38,0.611115,0.141302,HS,T,1,0
75,0,0,0,0,0,0,255.185,0.5,0.334396,SF,T,0.75,2
76,0,0,0,0,0,0,3048.43,0.5,0.24142,MF,T,1,0
77,0,0,0,0,0,0,1965.97,0.481481,0.313283,SF,T,0.75,2
78,0,0,0,0,0,0,2410.59,0.533333,0.286272,SF,T,1,0
79,0,0,0,0,0,0,4552.28,0.494253,0.36436,HS,C,1,0
80,0,0,0,0,0,0,1052.15,0.694443,0.318602,SF,T,0.5,1
81,0,0,0,0,0,0,5269.87,0.777771,0.332051,SF,T,0.5,1
82,0,0,0,0,0,0,4851.67,0.583333,0.24537,AG,C,0.5,0
83,0,0,0,0,0,0,3726.36,0.555557,0.31107,SF,T,0.25,2
84,0,0,0,0,0,0,1151.25,0.540404,0.203599,HS,C,1,0
85,0,0,0,0,0,0,185.674,0.629628,0.305178,SF,T,1,2
86,0,0,0,0,0,0,2887.09,0.412698,0.316931,MF,T,1,0
87,0,0,0,0,0,0,3677.21,0.485185,0.32329,AG,C,1,0
88,0,0,0,0,0,0,1995.94,0.479531,0.222338,HS,C,1,0
89,0,0,0,0,0,0,3510.94,0.583332,0.314342,MF,T,0.25,2
90,1,0,0,1,0,1,1156.23,0.5,0.315643,SF,T,0.5,3
91,0,0,0,1,0,1,3494.54,0.583332,0.319731,SF,T,0.5,2
92,0,0,0,0,0,0,2657.73,0.402779,0.296934,SF,T,0.75,0
93,0,0,0,0,0,0,2173.26,0.553792,0.253969,MF,C,0.75,2
94,0,0,0,0,0,0,978.59,0.629628,0.276432,SF,T,1,2
95,0,0,0,0,0,0,2644,0.333336,0.302752,SF,T,1,0
96,0,0,0,0,0,0,4746.31,0.388889,0.20763,AG,T,1,0
97,0,0,0,0,0,0,2806.35,0.555557,0.205226,MF,T,1,0
98,0,0,0,0,0,0,1162.83,0.439909,0.399532,AG,C,0.5,0
99,0,0,0,0,0,0,2919.41,0.666669,0.187821,HS,T,1,0
100,0,0,0,0,0,0,3280.83,0.480725,0.348705,MF,C,1,2
101,0,1,0,0,1,0,4030.08,0.366667,0.283436,SF,T,0.25,3
102,0,0,0,0,0,0,4819.99,0.444443,0.217443,AG,T,1,0
103,0,0,0,1,0,0,3197.46,0.416668,0.291416,SF,T,0.25,2
104,0,0,0,0,0,0,2020.73,0.629628,0.310345,MF,T,1,1
105,0,0,0,0,0,0,3170.39,0.577777,0.313602,SF,T,0.5,2
106,0,0,0,0,0,0,5911.85,0.166672,0.180626,HS,T,0.5,0
107,0,0,0,0,0,0,1660.72,0.512154,0.296785,SF,C,0.5,1
108,0,0,0,0,0,0,446.306,0.524692,0.204518,MF,C,0.75,0
109,0,0,0,0,0,0,5425.66,0.586805,0.328889,SF,C,0.75,0
110,0,0,0,0,0,0,0,0.361112,0.311928,SF,T,0.75,0
111,0,0,1,0,0,0,4071.69,0.5,0.331811,SF,T,0.75,2
112,0,0,0,0,0,0,1363.02,0.543543,0.0344132,AG,C,0.75,1
113,0,0,0,0,0,0,5016.65,0.555557,0.306388,SF,T,1,0
114,0,0,0,0,0,0,1565.74,0.611112,0.317702,SF,T,0.5,2
115,0,0,1,1,1,0,391.436,0.444446,0.297143,SF,T,0.75,2
116,0,0,0,0,0,1,1507.16,0.481481,0.285664,SF,T,0.5,1
117,0,0,0,0,0,0,1435.56,0.574075,0.386276,SF,C,0.75,1
118,0,0,0,0,0,0,3007.95,0.588889,0.239199,SF,C,1,2
119,0,0,0,0,0,0,560.451,0.513889,0.327671,MF,T,0.75,1
120,0,0,0,0,0,0,2333.07,0.518519,0.332091,MF,T,1,0
121,0,0,0,0,0,0,1566.97,0.481481,0.340816,MF,T,1,0
122,0,0,0,0,0,0,2312.46,0.511111,0.280371,SF,T,1,0
123,0,0,0,0,0,0,1251.68,0.47619,0.0850894,SF,T,0.75,0
124,0,0,0,0,0,0,2678.55,0.316667,0.146879,SF,C,0.75,2
125,0,0,0,0,0,0,1396.33,0.452381,0.259007,MF,C,0.75,0
126,0,0,0,0,0,0,2989.43,0.417989,0.354084,SF,C,0.75,3
127,0,0,0,0,0,0,1840.17,0.555557,0.308615,SF,T,1,1
128,0,0,0,0,0,0,2684.98,0.404042,0.248107,AG,C,1,0
129,0,0,0,0,0,0,2023.58,0.444443,0.316326,SF,T,0.5,3
130,0,0,0,0,0,0,2027.36,0.428571,0.255283,MF,C,0.75,1
131,0,0,0,0,0,0,1898.57,0.49104,0.236777,MF,C,1,0
132,1,0,1,0,1,1,868.688,0.40741,0.316279,SF,T,0.5,4
133,0,0,0,0,0,0,8069.66,0.431373,0.313965,MF,C,0.75,0
134,0,0,0,0,0,0,5360.31,0.555552,0.354912,SF,T,1,0
135,0,1,0,0,1,0,5779.48,0.546099,0.0696564,MF,C,0.5,3
136,1,1,0,0,0,1,1428.88,0.402779,0.323848,SF,T,0.5,2
137,0,0,0,0,0,0,4552.28,0.466666,0.38288,MF,T,1,0
138,0,0,0,0,0,0,1357.39,0.479631,0.39245,MF,C,0.75,0
139,0,0,0,0,0,0,450.577,0.648148,0.340218,SF,T,1,1
140,0,0,0,0,0,0,2075.9,0.555557,0.152701,AG,T,0.5,0
141,0,0,0,0,0,0,804.589,0.535947,0.351919,MF,C,0.75,0
142,0,0,0,0,0,0,3302.94,0.5,0.337602,SF,T,0.75,1
143,0,0,0,0,0,0,4641.86,0.497223,0.342245,SF,C,0.75,3
144,0,0,0,0,0,0,1577.93,0.425926,0.293286,SF,T,1,1
145,0,0,0,1,0,0,610,0.412698,0.275562,SF,C,0.5,2
146,0,1,0,0,0,0,997.97,0.444443,0.301019,SF,T,0.5,1
147,0,0,0,0,0,0,2173.26,0.460993,0.287434,MF,C,0.75,0
148,0,0,0,0,0,0,2726.04,0.481481,0.312907,SF,T,0.5,2
149,0,0,0,0,0,0,841.815,0.477777,0.320573,MF,C,0.75,0
150,0,0,0,0,0,0,3295.97,0.472221,0.0560724,SF,T,1,0
151,0,0,0,0,0,0,1857.77,0.559029,0.36933,MF,C,0.75,1
152,1,0,0,0,1,0,2635.3,0.565843,0.28459,MF,C,0,3
