d13C,d15N,d34S,species,tissue
-9.76,12.41,6.31,AWB,feather
-8.89,12.00,9.72,AWB,feather
-9.09,11.82,8.47,AWB,feather
-10.44,12.72,8.18,AWB,feather
-10.73,11.84,9.73,AWB,feather
-12.58,13.22,9.41,AWB,feather
-10.14,12.05,9.24,AWB,feather
-12.60,11.95,9.44,AWB,feather
-10.88,12.46,9.93,AWB,feather
-10.63,11.54,10.22,AWB,feather
-10.00,12.31,8.47,AWB,feather
-11.92,12.80,9.16,AWB,feather
-10.50,13.65,8.76,RPV,feather
-9.70,12.41,7.40,RPV,feather
-10.59,13.80,9.54,RPV,feather
-9.27,11.72,9.78,RPV,feather
-12.86,12.99,7.31,RPV,feather
-10.00,12.25,10.11,RPV,feather
-15.75,14.07,12.09,RPV,feather
-11.40,13.05,7.80,RPV,feather
-12.30,12.46,10.09,RPV,feather